Year,Precip,Snowfall,Discharge
1911,33.32,157.1,5070.8
1913,22.32,151.5,3436.9
1914,35.03,203.3,6111.3
1915,14.86,66.5,3583.3
1916,30.84,187.4,6073.2
1917,24.62,184.3,5346.7
1918,24.98,205.4,5640.9
1920,24.57,232.4,6519.6
1921,16.26,168.1,4969.4
1935,27.34,238,4142.6
1936,25.79,185.9,4883.8
1937,23.19,143,3443.1
1938,28.97,205.2,4578
1939,13.55,119.5,3001.7
1940,9.75,111.3,2224.3
1941,14.16,120.4,4094.8
1942,13.04,106.5,3713
1943,33.52,178,4125.9
1944,20.9,162.7,3825.9
1945,22.53,148.3,3579.5
1946,21.5,131.8,3235.6
1947,29.21,187.3,4476.6
1948,26.69,209.4,4595.4
1949,29.96,210.5,4040.7
1950,23.91,195.4,3621
1951,29.92,229.5,3877.4
1953,24.81,170.1,3303.8
1956,24.03,240.2,3375.7
1957,40.94,322.3,6904.9
1958,20.33,233.1,4179.4
1959,23.66,190,2645.3
1960,17.48,148.4,3010.4
1961,24.08,201.8,2705.7
1962,22.24,246.4,5117.6
1963,18.8,136.9,2226.7
1964,21.92,199.5,2894.9
1965,33.48,352.1,5869
1966,19.75,172.1,2830.1
1967,27.85,200.5,3669.5
1968,23.24,268.7,3991
1969,31.22,314,4189.7
1970,26.22,235.5,4616.9
1971,24.13,259,4065.7
1972,23.91,157.5,3139.2
1973,22.06,201.6,4104
1974,20.58,197.3,3447.6
1975,20.15,208.5,4267.3
1976,18.02,165.9,2830.9
1980,29.5,314.4,4997.3
1981,15.84,89.7,1914.3
1982,25.4,218.5,4157.5
1983,20.53,228.5,4519.5
1984,30.72,332.8,6470.9
1985,26.36,235.9,5259.8
1986,29.14,281,6064.1
1987,18.49,157.1,3768.8
1988,20.02,165,2597
1989,22.24,203.1,3139.6
1990,21.26,131.3,2261.4
1991,21.16,226.9,3333.2
1992,22.25,150.4,2722.9
1993,31.61,325.6,5596.7
1994,18.95,171.6,3356.4
1995,34.53,305.4,6907.6
1996,29.17,269.9,4821
1997,30.48,264,5693.4
1998,20.45,185.9,3269.3
1999,27.13,204.9,3931.9
2000,23.85,190.7,3009.7
2001,21.82,179.6,2815.5
2002,19.22,157.4,1707.5
2003,21.83,168.9,3000.7
2004,21.07,198.1,2719.1
2005,27.24,251.3,3941.6
2006,27.2,221,3906.6
2007,17.68,124.2,3007.7
2008,26.62,280.1,5132
2010,21.37,165.2,3114.1
2011,24.39,245.3,5580.2
2012,15.01,92.8,1613.1
2013,20.16,15.6,2527.7
2014,24.38,146.5,4877.8
2015,23.08,135.6,3761.4
2016,22.92,156.5,3260.9
2017,29.54,228.1,5069.3
2018,19.83,81.1,1811.4
