#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-03-30 23:57:59 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09112500 EAST RIVER AT ALMONT, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18852	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09112500	00060	18852	1910	10	94.2
USGS	09112500	00060	18852	1910	11	73.7
USGS	09112500	00060	18852	1910	12	60
USGS	09112500	00060	18852	1911	1	59.7
USGS	09112500	00060	18852	1911	2	52.9
USGS	09112500	00060	18852	1911	3	64.7
USGS	09112500	00060	18852	1911	4	267.7
USGS	09112500	00060	18852	1911	5	1179
USGS	09112500	00060	18852	1911	6	1853
USGS	09112500	00060	18852	1911	7	740
USGS	09112500	00060	18852	1911	8	271.8
USGS	09112500	00060	18852	1911	9	168.8
USGS	09112500	00060	18852	1911	10	279.5
USGS	09112500	00060	18852	1911	11	121.7
USGS	09112500	00060	18852	1911	12	124.3
USGS	09112500	00060	18852	1912	1	83
USGS	09112500	00060	18852	1912	2	60
USGS	09112500	00060	18852	1912	3	63.6
USGS	09112500	00060	18852	1912	4	174
USGS	09112500	00060	18852	1912	5	970.7
USGS	09112500	00060	18852	1912	6	1822
USGS	09112500	00060	18852	1912	7	920.6
USGS	09112500	00060	18852	1912	8	356.7
USGS	09112500	00060	18852	1912	9	171.2
USGS	09112500	00060	18852	1912	10	137.5
USGS	09112500	00060	18852	1912	11	72.7
USGS	09112500	00060	18852	1912	12	57
USGS	09112500	00060	18852	1913	1	57
USGS	09112500	00060	18852	1913	2	54
USGS	09112500	00060	18852	1913	3	53.3
USGS	09112500	00060	18852	1913	4	405.9
USGS	09112500	00060	18852	1913	5	1120
USGS	09112500	00060	18852	1913	6	1086
USGS	09112500	00060	18852	1913	7	266
USGS	09112500	00060	18852	1913	8	25
USGS	09112500	00060	18852	1913	9	104
USGS	09112500	00060	18852	1913	10	136
USGS	09112500	00060	18852	1913	11	90
USGS	09112500	00060	18852	1913	12	90
USGS	09112500	00060	18852	1914	1	80
USGS	09112500	00060	18852	1914	2	75
USGS	09112500	00060	18852	1914	3	115
USGS	09112500	00060	18852	1914	4	242.9
USGS	09112500	00060	18852	1914	5	1555
USGS	09112500	00060	18852	1914	6	2107
USGS	09112500	00060	18852	1914	7	976.1
USGS	09112500	00060	18852	1914	8	288.4
USGS	09112500	00060	18852	1914	9	232.5
USGS	09112500	00060	18852	1914	10	259.4
USGS	09112500	00060	18852	1914	11	164.4
USGS	09112500	00060	18852	1914	12	80
USGS	09112500	00060	18852	1915	1	70
USGS	09112500	00060	18852	1915	2	70
USGS	09112500	00060	18852	1915	3	134.3
USGS	09112500	00060	18852	1915	4	330.1
USGS	09112500	00060	18852	1915	5	614.9
USGS	09112500	00060	18852	1915	6	1091
USGS	09112500	00060	18852	1915	7	531.6
USGS	09112500	00060	18852	1915	8	215.7
USGS	09112500	00060	18852	1915	9	154.3
USGS	09112500	00060	18852	1915	10	127
USGS	09112500	00060	18852	1915	11	77
USGS	09112500	00060	18852	1915	12	65
USGS	09112500	00060	18852	1916	1	57
USGS	09112500	00060	18852	1916	2	55
USGS	09112500	00060	18852	1916	3	103
USGS	09112500	00060	18852	1916	4	434.3
USGS	09112500	00060	18852	1916	5	1340
USGS	09112500	00060	18852	1916	6	2099
USGS	09112500	00060	18852	1916	7	884.2
USGS	09112500	00060	18852	1916	8	499.4
USGS	09112500	00060	18852	1916	9	238.7
USGS	09112500	00060	18852	1916	10	220.6
USGS	09112500	00060	18852	1916	11	138.4
USGS	09112500	00060	18852	1916	12	97
USGS	09112500	00060	18852	1917	1	52.9
USGS	09112500	00060	18852	1917	2	66.8
USGS	09112500	00060	18852	1917	3	77.6
USGS	09112500	00060	18852	1917	4	194.5
